Nombre,Web,Servicios,Contacto,Descripción corta
Interalia,http://interalia.net,Desarrollo de videojuegos,contacto@interalia.net,"Agencia interactiva enfocada a crear, diseñar y ejecutar estrategias de marketing online en Latinoamérica."
Intus,http://intus.tv,Desarrollo de videojuegos,contacto@intus.tv,"En INTUS creamos experiencias interactivas de marketing, publicidad, comunicación y arte, con tecnologías de avanzada, consultoría estratégica."
Ironbit,http://ironbit.com.mx,Desarrollo de videojuegos,info@ironbit.com.mx,"Nos dedicamos a innovar experiencias digitales, haciendo uso de tecnología móviles, tales como: iPhone, iPad, Android, Windows Phone, Windows 8, Blackberry, S4."
Jitzu,http://jitzu.mx,Desarrollo de videojuegos,alberto@jitzu.mx,Virtual Reality / Augmented Reality / 3D / Animation / VFX
KaraOkulta,www.karaokulta.com,Desarrollo de videojuegos,hello@karaokulta.com,Creando arte en forma de Apps y Videojuegos
Khimera Lab,http://www.khimeralab.com,Desarrollo de videojuegos,contacto@khimeralab.com,"De la combinación de elementos sobrenaturales y ciencia, surge un laboratorio enfocado a crear soluciones tecnológicas mediante el uso de #VirtualReality, #AugmentedReality y #InteractiveMultimedia."
Kokonut Studio,http://kokonutstudio.com,Desarrollo de videojuegos,,
Kraken Studio,https://www.facebook.com/krakenstudiogames/,Desarrollo de videojuegos,,
Kreative Co,http://kreativeco.com,Desarrollo de videojuegos,luis@kreativeco.com,"Búsqueda de soluciones creativas donde se integren todas las áreas del diseño: interactivo, gráfico e industrial; dando lugar a una propuesta completa y revolucionaria para el mercado actual."
Kurowi Games,https://kurowigames.com,Desarrollo de videojuegos,info@kurowigames.com,"Creamos contenido educativo para que los niños y las niñas aprendan a aprender. A través de la tecnología y de herramientas digitales divertidas, mejoramos la educación y les creamos hábitos de aprendizaje que mejoran su entorno, y su calidad de vida."
Larva Game Studios,http://larvagamestudios.com,Desarrollo de videojuegos,https://mx.linkedin.com/company/larva-game-studios,"Larva Game Studios es un estudio de desarrollo de juegos y editor de primer nivel para la región de LATAM, ubicado en Guadalajara, México y Los Ángeles, California."
Lava Cup,http://laracupstudio.com,Desarrollo de videojuegos,,
Lienzo,http://lienzo.mx,Desarrollo de videojuegos,hola@lienzo.mx,En Lienzo desarrollamos videojuegos con el objetivo de trascender en el medio.
Liga de videojuegos profesional,https://lvp.global/,Servicios para e-sports,info.mx@lvp.global,"LVP, del Grupo MEDIAPRO, es uno de los mayores operadores de competiciones de videojuegos del mundo y la mayor organización de esports en lengua hispana."
Liga Mexicana de Videojuegos,https://lmv.mx/,Servicios para e-sports,contacto@lmv.mx,Queremos ser la competencia de referencia para los amantes de los Videojuegos en México.
Little Sasquatch Games,https://www.facebook.com/LittleSasquatchGames/,Desarrollo de videojuegos,support@littlesasquatchgames.com,Little Sasquatch Games es un estudio de juegos independiente formado por dos amigas.
Lola,http://lolamx.com,Desarrollo de videojuegos,info@lolamx.com,"LOLA es una empresa mexicana que cuenta con una amplia experiencia en la búsqueda de talentos para el doblaje neutro. Nuestra gente se especializa en su área y, trabajando juntos, creamos la receta perfecta para el éxito de tu producto"
LRPSoft,http://lrpsoftblog.azurewebsites.net,Desarrollo de videojuegos,,
Mad Raccoon Studio,https://www.madraccoonstudio.com,Desarrollo de videojuegos,epalmeros@madraccoonstudio.com,Technologies Multisolutions.
Major Mexican League,https://mmlmx.com/,Servicios para e-sports,mmlmx@outlook.com,"Major Mexican League, mejor conocido como MML, es la liga no oficial, de Call of duty mas reconocida en Mexico de los ultimos años. y su division de Elite, ha sido el escalafon de muchas nuevas organizaciones, para consolidarse y exhibir su potencial."
Man Eater Games,http://maneatergames.com,Desarrollo de videojuegos,contact@maneatergames.com,We're Man-Eater Games and we specialize in making boys' love games.
Mantiz Game Studios,http://www.mantizgs.com,Desarrollo de videojuegos,https://www.facebook.com/MantizGameStudios/about/?ref=page_internal,"Somos una empresa tecnológica enfocada a la innovación, que ofrece soluciones interactivas personalizadas para posicionar un mensaje o una marca a través de medios digitales eficaces, que causan un alto impacto en el mercado."
Máquina Voladora,http://www.maquivol.com,Desarrollo de videojuegos,https://maquivol.com/#section_contact,"Maquivol is a videogame development studio based in Mexico City composed of creative people related by their passion for technology,"
Mars Games,http://mars-games.net,Desarrollo de videojuegos,https://www.facebook.com/MarsGamesMobile/about/?ref=page_internal,"Mars Games es un estudio independiente fundado en Septiembre del año 213, nuestro objetivo es crear experiencias de juego únicas a través de nuevos videojuegos que posean mecánicas, arte, historias y personajes únicos."
Master Kiwi,http://masterkiwi.com,Desarrollo de videojuegos,hola@sferea.com,Master Kiwi es una innovadora plataforma que simplifica la creación de videojuegos y permite a publicistas y mercadologos impulsar sus eventos.
Materia Gris,http://materiagris.com.mx,Desarrollo de videojuegos,draco@materiagris.com.mx,
Mecha Studios,http://mechastudios.com,Desarrollo de videojuegos,contact@mechastudios.com,"Somos un estudio de desarrollo de juegos independiente con mucha experiencia en videojuegos, por lo que sabemos cómo crear un juego divertido, estético y trascendente."
Megalixir Games,http://megalixirgames.com/,Desarrollo de videojuegos,contacto@megalixirgames.com,"¡Un estudio de juegos de novelas visuales especializado en narraciones visuales, juegos hermosos y experiencias increíbles!"
Mero Studios,http://merostudios.com,Desarrollo de videojuegos,contacto@merostudios.com,"Es un estudio de desarrollo de videojuegos independiente, ubicado en la península de Yucatán. Nuestro objetivo es crear videojuegos culturales."
MST School,https://www.mstschool.mx/school,Educación y capacitación, info@mstschool.mx ,MST Concept Design School nace en 21 ante la necesidad de formar profesionales del Diseño especializado en el entretenimiento.
Navegante Entertainment,http://www.navegante.games/,Desarrollo de videojuegos,contact@playgreak.com,Navegante Entertainment is an independent video game studio based in Mexico with collaborators in other countries from Latin America.
NCite,https://ncite.mx,Desarrollo de videojuegos,contact@ncite.mx,We use games and apply gamification elements to digital learning experiences.
NEVERENDING games,http://neverendingames.com/,Desarrollo de videojuegos,https://www.facebook.com/NeverEnding-Games-1603583309955174/?fref=ts,We are an independent studio with lot’s of imagination and enthusiasm and since we have been playing games from a long time ago we decided to create our own video games and be a part of this amazing industry.
Nibiru Studios,http://nibirustudios.com,Desarrollo de videojuegos,contacto@nibirustudios.com,
Nite Estudio,http://nite-estudio.com,Desarrollo de videojuegos,contacto@nite-estudio.com,Somos un grupo multidisciplinario de diseñadores gráficos y programadores con la finalidad de brindar estrategias de comunicación gráfica que permitan el crecimiento de las ideas y proyectos de nuestros clientes.
Nuke Games,http://www.nukegames.mx,Desarrollo de videojuegos,https://www.facebook.com/nukegame/,Nuke games is a indie game developer.
Nuts and Bolts,http://nuts.mx,Desarrollo de videojuegos,,
Ogre Pixel,http://ogrepixel.com,Desarrollo de videojuegos,ogrepixel@gmail.com,Creating fantasy stories in form of indie video games.
Onirik Game Studio,http://www.onirikgamestudio.com,Desarrollo de videojuegos,daniel@onirikgs.com,"En Onirik Research Lab se generarn diversos productos que integran diversas disciplinas que intervienen en el desarrollo de nuevas tecnologías donde se dan cita la programación de imagen, movimiento, sonido y estructura física para lograr efectos espectaculares."
Patoli Studio,https://patolistudio.com,Desarrollo de videojuegos,info@patolistudio.com,A Mexican GameDev Studio focusing in 2D mobile games.
Pialoki,http://pialoki.com,Desarrollo de videojuegos,https://www.facebook.com/pialoki.games/,"Hi we are Pialoki. An interactive entretainment company, focused on creating excited games that bring joy to everyone."
Pink Bear Games,https://pinkbeargames.com/,Desarrollo de videojuegos,contacto@pinkbeargames.com,"Patito es un proyecto que busca apoyar a nuestra sociedad. Nuestro objetivo es hacer consciencia en niños y adultos, acerca del Abuso Sexual Infantil."
Pixcomp,www.pixcomp.com,Desarrollo de videojuegos,contacto@pixcomp.com,
Poiesus Games,https://www.poiesusgames.com,Desarrollo de videojuegos,poiesusgames@gmail.com,"Poiesus Games es un proyecto de estudio independiente dedicado a los videojuegos, siendo el primero de estos 'Capitán Kalani y el sindicato robótico'"
QCreativo,www.qcreativo.com,Desarrollo de videojuegos,contacto@qcreativo.com,Soy un animador y programador de videojuegos
Quetzalcoatl Games,https://twitter.com/QuetzalcoatlGS,Desarrollo de videojuegos,quetzalcoatlgs@gmail.com,
RCK Games,http://rckgames.com,Desarrollo de videojuegos,contacto@rckgames.com,"Conquistamos al mundo desarrollando apps, creando videojuegos y contando historias"
RCMX,www.rcmx.mx,"Servicios legales,Servicios financieros,Educación y capacitación",raul@rcmx.mx,"“Como creador dedica tu tiempo a lo que te gusta, nosotros nos ocupamos del resto”.

Somos un cluster de Entertainment & Business Management 
con más de 20 años de experiencia. 
Buscamos dar dirección y aportar claridad para 
tu empresa o marca personal por medio 
de nuestros servicios: 

Para Marcas:
+Booking Management - Encontramos el talento ideal a las marcas que buscan impulsar sus productos o servicios. 

Para Creativos:
+Business Management - Contigo tomamos el rumbo y dirección a tus proyectos, desarrollando una estructura financiara y legal sana y confiable.
Somos tus aliados para la interpretación de las finanzas, seguridad ante las decisiones, confianza y dirección en el manejo de tus recursos.

+Booster Training - Te ayudamos a potenciar la mejor versión de ti. Contamos con un Programa basado en High Performance Coaching, proceso creado para ayudarte a alcanzar niveles elevados de rendimiento e incrementar el potencial de tu vida.
"
Realidad Virtual MX,http://www.realidadvirtualmx.com/,Desarrollo de videojuegos,inforvmx@gmail.com,Ofrecemos servicios de desarrollo y entretenimiento con realidad virtual y aumentada.
Render Farm Studios,https://www.renderfarm.com.mx,Desarrollo de videojuegos,ventas@renderfarm.com.mx,"Contamos con más de 1 años de experiencia en el medio educativo y de capacitación, publicitario, cultural, de negocios y de entretenimiento."
SAE México,https://mexico.sae.edu/,Educación y capacitación,,
Salmon Snake Studio,http://www.salmonsnakestudio.com,Desarrollo de videojuegos,http://www.salmonsnakestudio.com/,
Seashell Studio,http://www.seashellstudio.mx,Desarrollo de videojuegos,jobs@seashellstudios.mx,Un estudio enfocado en sumergir a la audiencia en atmósferas que generen un eco de experiencias memorables.
Skay Solutions,http://www.skaysolutions.com/,Desarrollo de videojuegos,videojuegos@skaysolutions.com,SKAY SOLUTIONS ES LA EMPRESA LÍDER EN MÉXICO EN DESARROLLO DE VIDEOJUEGOS Y GAMIFICACIÓN DE CONTENIDO
Software House Merida,http://shmerida.mx,Desarrollo de videojuegos,info@shmerida.mx,As your nearshore partner we provide top-talent programmers that work alongside your onshore team thus boosting your business objectives.
SQUAD,www.squad.com.mx,"Desarrollo de videojuegos,Publicidad & marketing,Work for hire",info@squad.com.mx,
Tagwizz,www.tagwizz.com,Desarrollo de videojuegos,contact@tagwizz.com,"We are full-service game development studio dedicated to support, colaborate and assist other companies in their creative endeavours."
Tec de Monterrey,https://tec.mx/es,Educación y capacitación,tecservices@servicios.tec.mx,"En el Tecnológico de Monterrey formamos líderes con espíritu emprendedor, sentido humano y competitivos internacionalmente."
Tech Universidad Tecnológica ,www.tectitute.com,Educación y capacitación,jjmarquez@techtitute.com,
Tequila Works,https://www.tequilaworks.com/en/,Desarrollo de videojuegos,info@tequilaworks.com,"Creating small tasteful things, that is our philosophy... and our challenge!"
TGA Company,http://www.tgacompany.com/,Desarrollo de videojuegos,info@tgacompany.com,We're a independent game development studio working on A RAT'S QUEST - The Way Back Home It will be published by HandyGames!
The Dreamerians,https://www.facebook.com/pg/TheDreamerians,Desarrollo de videojuegos,hello@thedreamerians.com,
Third World Productions,http://thirdworldproductions.com.mx,Desarrollo de videojuegos,thirdworldproductions@gmail.com,Videogame production company using the power of imagination and creativity
TKO Game Studios,https://www.facebook.com/tkogames/,Desarrollo de videojuegos,contacto@tkogamestudios.com,Amamos hacer sonreir a la gente con contenido para dispositivos móviles y mercados latinos. Suscribete para tener todo! en http://club.tkogamestudios.com
Tlakali Game Studio,http://www.tlakali.com,Desarrollo de videojuegos,tgs@tlakali.com,"Somos un estudio independiente de desarrollo de videojuegos que, al igual que otros estudios mexicanos, estamos en la misma línea de aportar algo para que México no sea unicamente consumidor de videojuegos."
Tokyoplay,http://www.tokyoplay.com,Desarrollo de videojuegos,hello@tokyoplay.com,Nosotros hacemos juegos asombrosos y desafiantes porque creemos que todos quieren divertirse.
Tres Pixeles,https://trespixeles.mx/,"Desarrollo de videojuegos,Work for hire",contacto@trespixeles.mx,"Hemos creado videojuegos y aplicaciones para distintas plataformas como Android, iOS, PC, Mac y Web."
Trickshot Game & Development Studio,http://gottainkthis.tumblr.com/,Desarrollo de videojuegos,,
